x0,xf,f,nit,grad_norm,success
"(100, 10)",[ 1.15253010e-06 -8.03936521e+03],-3.1413438931918125,37,2.336205974317391e-06,True
"(100, 20)",[-5.20825358e-06 -1.07806553e+03],-3.139738335741717,33,8.865556996998403e-06,True
"(100, 30)",[ 2.18423942e-07 -2.49207750e+03],-3.1407902710681803,34,8.242192150587034e-07,True
"(100, 40)",[-3.97532741e-06 -2.25295650e+03],-3.1407051277874407,34,7.567060219814076e-06,True
"(100, 50)",[-4.01126619e-06 -7.22478636e+03],-3.141315847925814,35,7.984313614882382e-06,True
"(100, 60)",[ 1.92386809e-06 -1.10872242e+04],-3.1414122739166266,37,3.864038832960539e-06,True
"(100, 70)",[-9.40683362e-07 -8.16418405e+03],-3.141347696154504,37,1.8516077326089151e-06,True
"(100, 80)",[-1.59460658e-06 -6.84433867e+04],-3.141563432569903,45,3.1887862633429083e-06,True
"(100, 90)",[ 3.46202601e-06 -1.53537851e+03],-3.1402904661870394,31,7.818008285050616e-06,True
"(100, 100)",[-5.28912680e-06 -1.47233282e+03],-3.140234724993694,30,9.700183787335987e-06,True
